时间,品种,方向,入场,止损,目标,风险元,链均,时段
2026-09-21 13:57:22,螺纹,多,3116.0,3105.1,3132.3,109,0.53,day
2026-09-22 02:29:48,豆粕,多,3414.0,3392.9,3445.7,211,0.57,night
2026-09-22 02:29:48,螺纹,多,3128.0,3117.1,3144.3,109,0.44,night
2026-09-22 02:29:48,淀粉,多,2439.0,2430.2,2452.2,88,0.04,night
